Place,Opening Hours,Street Address,Suburb,State,Postcode,Country,Phone,Email
Mansfield,Non-24 Hours,92 High Street,Mansfield,VIC,3722,Australia,(03) 57752555,mansfield.uni@police.vic.gov.au
Marysville,Non-24 Hours,13 Murchison Street,Marysville,VIC,3779,Australia,(03) 59633222,marysville.uni@police.vic.gov.au
Mount Evelyn,Non-24 Hours,17 York Road,Mount Evelyn,VIC,3796,Australia,(03) 97362473,mtevelyn.uni@police.vic.gov.au
Euroa,Non-24 Hours,40 Kirkland Avenue,Euroa,VIC,3666,Australia,(03) 57952017,euroa.uni@police.vic.gov.au
Numurkah,Non-24 Hours,19 Saxton St,Numurkah,VIC,3636,Australia,(03) 58623311,NUMURKAH.UNI@police.vic.gov.au
Hastings,Non-24 Hours,137 High Street,Hastings,VIC,3915,Australia,(03) 59707800,hastings.uni@police.vic.gov.au
Emerald,Non-24 Hours,390 Belgrave Gembrook Road,Emerald,VIC,3782,Australia,(03) 59540200,emerald.uni@police.vic.gov.au
Clayton,Non-24 Hours,263 Clayton Road,Clayton,VIC,3168,Australia,(03) 95433888,clayton.uni@police.vic.gov.au
Avondale Heights,24 hours,162 Military Rd,Avondale Heights,VIC,3034,Australia,(03) 93376777,avondaleheights.uni@police.vic.gov.au
Geelong,24 hours,110 Mercer Street,Geelong,VIC,3220,Australia,(03) 5225 3100,GEELONG.UNI@police.vic.gov.au
Yarra Junction,Non-24 hours,2395 Warburton Hwy,Yarra Junction,VIC,3797,Australia,(03) 5967 1104,yarrajunction-uni@police.vic.gov.au
Dookie,Non-24 Hours,26 Queen Street,Dookie,VIC,3646,Australia,(03) 58286213,DOOKIE.UNI@police.vic.gov.au
Anglesea,Non-24 Hours,55 Great Ocean Road,Anglesea,VIC,3230,Australia,(03) 52633468,ANGLESEA.UNI@police.vic.gov.au
Transit Safety Division,24 Hours,637 Flinders Street,Docklands,VIC,3008,Australia,(03) 92473300,
Caulfield,24 Hours,289 Hawthorn Road,Caulfield,VIC,3162,Australia,(03) 95249500,caulfield.uni@police.vic.gov.au
Cranbourne,Non-24 Hours,168 Sladen Street,Cranbourne,VIC,3977,Australia,(03) 59910600,cranbourne.uni@police.vic.gov.au
Benalla,24 Hours,17 Bridge St W,Benalla,VIC,3672,Australia,(03) 57600200,benalla.uni@police.vic.gov.au
Dandenong,24 Hours,50 Langhorne Street,Dandenong,VIC,3175,Australia,(03) 97677444,dandenong.uni@police.vic.gov.au
Boronia,24 Hours,259 Dorset Road,Boronia,VIC,3155,Australia,(03) 97606600,boronia.uni@police.vic.gov.au
Melbourne Airport,24 Hours,2 Francis Briggs Road,Melbourne Airport,VIC,3045,Australia,(03) 83463400,
Sunshine,24 Hours,497 Ballarat Road,Sunshine,VIC,3020,Australia,(03) 93133333,SUNSHINE.UNI@police.vic.gov.au
Hurstbridge,Non-24 Hours,790 Main Road,Hurstbridge,VIC,3099,Australia,(03) 97182111,hurstbridge.uni@police.vic.gov.au
Sorrento,Non-24 Hours,10 Hotham Road,Sorrento,VIC,3943,Australia,(03) 59842000,sorrento.uni@police.vic.gov.au
South Melbourne,Non-24 Hours,211 Bank Street,South Melbourne,VIC,3205,Australia,(03) 92573800,southmelbourne.uni@police.vic.gov.au
Springvale,Non-24 Hours,314 Springvale Road,Springvale,VIC,3171,Australia,(03) 85588600,springvale.uni@police.vic.gov.au
Carrum Downs,Non-24 Hours,42 Ballarto Road,Carrum Downs,VIC,3201,Australia,(03) 87704100,CARRUMDOWNS-UNI-OIC@police.vic.gov.au
Briagolong,Non-24 Hours,21 Avon Street,Briagolong,VIC,3860,Australia,(03) 51455213,briagolong.uni@police.vic.gov.au
Northcote,24 Hours,48 Dennis Street,Northcote,VIC,3070,Australia,(03) 94030200,NORTHCOTE.UNI@police.vic.gov.au
Prosecutions Research & Training,Non-24 Hours,456 Lonsdale Street,Melbourne,VIC,3000,Australia,(03) 86283280,prosecutions.research@police.vic.gov.au
Melbourne Airport,24 Hours,2 Francis Briggs Road,Melbourne Airport,VIC,3045,Australia,(03) 83463400,
Leongatha,Non-24 Hours,8 Anderson Street,Leongatha,VIC,3953,Australia,(03) 56622285,leongatha.uni@police.vic.gov.au
Mirboo North,Non-24 Hours,77 Ridgway,Mirboo North,VIC,3871,Australia,(03) 56681444,MIRBOONORTH-UNI-OIC@police.vic.gov.au
Drouin,Non-24 Hours,184 Princes Hwy,Drouin,VIC,3818,Australia,(03) 56252003,drouin.uni@police.vic.gov.au
Cowes,Non-24 Hours,92 Chapel Street,Cowes,VIC,3933,Australia,(03) 59522037,cowes.uni@police.vic.gov.au
Camberwell,24 Hours,317 Camberwell Road,Camberwell,VIC,3124,Australia,(03) 98820688,camberwell.uni@police.vic.gov.au
Healesville,Non-24 Hours,37 Harker St,Healesville,VIC,3777,Australia,(03) 59624422,healesville.uni@police.vic.gov.au
Mirboo North,Non-24 Hours,77 Ridgway,Mirboo North,VIC,3871,Australia,(03) 56681444,MIRBOONORTH-UNI-OIC@police.vic.gov.au
Burwood,Non-24 Hours,64 Burwood Hwy,Burwood,VIC,3125,Australia,(03) 98888377,burwood.uni@police.vic.gov.au
Camberwell,24 Hours,317 Camberwell Road,Camberwell,VIC,3124,Australia,(03) 98820688,camberwell.uni@police.vic.gov.au
Cowes,Non-24 Hours,92 Chapel Street,Cowes,VIC,3933,Australia,(03) 59522037,cowes.uni@police.vic.gov.au
Murchison,Non-24 Hours,8 Watson Street,Murchison,VIC,3610,Australia,(03) 58262222,MURCHISON.UNI@police.vic.gov.au
Omeo,Non-24 Hours,19 Tongio Road,Omeo,VIC,3898,Australia,(03) 51591222,omeo.uni@police.vic.gov.au
Orbost,Non-24 Hours,1 Lawson Lane,Orbost,VIC,3888,Australia,(03) 51541073,orbost.uni2@police.vic.gov.au
Neerim South,Non-24 Hours,76 Main Neerim Road,Neerim South,VIC,3831,Australia,(03) 56281303,neerimsouth.uni@police.vic.gov.au
Mitta Mitta,Non-24 Hours,5554 Omeo Hwy,Mitta Mitta,VIC,3701,Australia,(02) 60723564,mittamitta.uni@police.vic.gov.au
Mount Hotham (Snow Season),Non-24 Hours,Great Alpine Road,Hotham Heights,VIC,3741,Australia,(03) 57593535,mounthothamandfallscreek.erc@police.vic.gov.au
Rutherglen,Non-24 Hours,167 High Street,Rutherglen,VIC,3685,Australia,(02) 60329612,rutherglen.uni@police.vic.gov.au
Eildon,Non-24 Hours,22 Main Street,Eildon,VIC,3713,Australia,(03) 57742104,eildon.uni@police.vic.gov.au
Glenrowan,Non-24 Hours,72 Gladstone Street,Glenrowan,VIC,3675,Australia,(03) 57662215,glenrowan.uni@police.vic.gov.au
Wonthaggi,24 Hours,75 Watt Street,Wonthaggi,VIC,3995,Australia,(03) 56714100,wonthaggi.uni@police.vic.gov.au
Traralgon,24 Hours,17 Kay Street,Traralgon,VIC,3844,Australia,(03) 51722700,traralgon.uni@police.vic.gov.au
Dookie,Non-24 Hours,26 Queen Street,Dookie,VIC,3646,Australia,(03) 58286213,DOOKIE.UNI@police.vic.gov.au
Anglesea,Non-24 Hours,55 Great Ocean Road,Anglesea,VIC,3230,Australia,(03) 52633468,ANGLESEA.UNI@police.vic.gov.au
Mornington,Non-24 Hours,8 Main Street,Mornington,VIC,3931,Australia,(03) 59704900,mornington.uni@police.vic.gov.au
Koo Wee Rup,Non-24 hours,260 Rossiter Road,Koo Wee Rup,VIC,3981,Australia,(03) 59971404,kooweerup.uni@police.vic.gov.au
Bunyip,Non-24 Hours,4 Pearson Street,Bunyip,VIC,3815,Australia,(03) 56295205,BUNYIP-UNI-OIC@police.vic.gov.au
Narre Warren,24 Hours,8 Coventry Road,Narre Warren,VIC,3805,Australia,(03) 97053111,NARREWARREN-UNI-OIC@police.vic.gov.au
Prahran,24 Hours,396 Malvern Road,Prahran,VIC,3181,Australia,(03) 95205200,prahran.uni@police.vic.gov.au
Rye,Non-24 Hours,2 Dundas Street,Rye,VIC,3941,Australia,(03) 59852582,rye.5ry@police.vic.gov.au
St Kilda,24 Hours,92 Chapel Street,St Kilda,VIC,3182,Australia,(03) 95362666,st.kilda.uni@police.vic.gov.au
Somerville,Non-24 Hours,197 Eramosa Rd W,Somerville,VIC,3912,Australia,(03) 59781300,
Laverton,Non-24 Hours,36 Maher Road,Laverton,VIC,3028,Australia,(03) 93692122,LAVERTON.UNI@police.vic.gov.au
Melbourne East,24 Hours,202 Bourke St,Melbourne East,VIC,3000,Australia,(03) 96371100,MELBOURNEEAST.UNI@police.vic.gov.au
Chelsea,24 Hours,312 Station Street,Chelsea,VIC,3196,Australia,(03) 87733200,chelsea.uni@police.vic.gov.au
Lang Lang,Non-24 Hours,11 Westernport Road,Lang Lang,VIC,3984,Australia,(03) 59975444,langlang.uni@police.vic.gov.au
Box Hill,24 Hours,1 Kangerong Road,Box Hill,VIC,3128,Australia,(03) 88923200,BOXHILL.UNI@police.vic.gov.au
Victoria Police Centre,Non-24 Hours,313 Spencer St,Docklands,VIC,3008,Australia,(03) 92476666,
Werribee,24 Hours,134 Princes Hwy,Werribee,VIC,3030,Australia,(03) 97429444,WERRIBEE.UNI@police.vic.gov.au
Box Hill,24 Hours,1 Kangerong Road,Box Hill,VIC,3128,Australia,(03) 88923200,BOXHILL.UNI@police.vic.gov.au
Victoria Police Centre,Non-24 Hours,313 Spencer St,Docklands,VIC,3008,Australia,(03) 92476666,
Werribee,24 Hours,134 Princes Hwy,Werribee,VIC,3030,Australia,(03) 97429444,WERRIBEE.UNI@police.vic.gov.au
Hume CIU,24 Hours,15 Dimboola Road,Broadmeadows,VIC,3047,Australia,(03) 93028211,
Heidelberg,24 Hours,7 Jika Street,Heidelberg,VIC,3084,Australia,(03) 94508000,heidelberg.uni@police.vic.gov.au
Buchan,Non-24 Hours,39 Main Rd,Buchan,VIC,3885,Australia,(03) 51559268,buchan.uni@police.vic.gov.au
Richmond,24 Hours,217 Church Street,Richmond,VIC,3121,Australia,(03) 84203600,RICHMOND.UNI@police.vic.gov.au
Nathalia,Non-24 Hours,66 Pearce St,Nathalia,VIC,3638,Australia,(03) 58662404,NATHALIA.UNI@police.vic.gov.au
Glen Waverley,24 Hours,643 Ferntree Gully Road,Glen Waverley,VIC,3150,Australia,(03) 95661555,glenwaverley.uni@police.vic.gov.au
Nathalia,Non-24 Hours,66 Pearce St,Nathalia,VIC,3638,Australia,(03) 58662404,NATHALIA.UNI@police.vic.gov.au
Morwell,24 Hours,8 Hazelwood Road,Morwell,VIC,3840,Australia,(03) 51315000,morwell.uni@police.vic.gov.au
Swifts Creek,Non-24 Hours,6894 Great Alpine Road,Swifts Creek,VIC,3896,Australia,(03) 51594333,swiftscreek.uni@police.vic.gov.au
Toora,Non-24 Hours,7 Foster Road,Toora,VIC,3962,Australia,(03) 56862485,toora.uni@police.vic.gov.au
Yarrawonga,Non-24 Hours,25 Burley Road,Yarrawonga,VIC,3730,Australia,(03) 57443641,YARRAWONGA.UNI@police.vic.gov.au
Monash CIU,Non-24 Hours,1 Atherton Road,Oakleigh,VIC,3166,Australia,(03) 95678910,oakleigh.ciu@police.vic.gov.au
Casterton,Non-24 Hours,2 Jackson Street,Casterton,VIC,3311,Australia,(03) 55811024,CASTERTON.UNI@police.vic.gov.au
Lilydale,24 Hours,10 Albert Hill Road,Lilydale,VIC,3140,Australia,(03) 97392300,lilydale.uni@police.vic.gov.au
Jamieson,Non-24 Hours,22 Nash Street,Jamieson,VIC,3723,Australia,(03) 57770505,jamieson.uni@police.vic.gov.au
Knox,24 Hours,414 Burwood Hwy,Wantirna South,VIC,3152,Australia,(03) 98817000,knox.uni@police.vic.gov.au
Trafalgar,Non-24 Hours,27 Contingent Street,Trafalgar,VIC,3825,Australia,(03) 56331188,trafalgar.uni@police.vic.gov.au
Tungamah,Non-24 Hours,6 Station Street,Tungamah,VIC,3728,Australia,(03) 57485508,TUNGAMAH.UNI@police.vic.gov.au
Warragul,24 Hours,35 Palmerston Street,Warragul,VIC,3820,Australia,(03) 56227111,warragul.uni@police.vic.gov.au
Mount Beauty,Non-24 Hours,2 Park Street,Mount Beauty,VIC,3699,Australia,(03) 57544244,mt.beauty.uni@police.vic.gov.au
Kinglake,Non-24 Hours,15 Whittlesea-Kinglake Road,Kinglake,VIC,3763,Australia,(03) 57861333,uni.kinglake@police.vic.gov.au
Knox,24 Hours,414 Burwood Hwy,Wantirna South,VIC,3152,Australia,(03) 98817000,knox.uni@police.vic.gov.au
Mount Beauty,Non-24 Hours,2 Park Street,Mount Beauty,VIC,3699,Australia,(03) 57544244,mt.beauty.uni@police.vic.gov.au
Kinglake,Non-24 Hours,15 Whittlesea-Kinglake Road,Kinglake,VIC,3763,Australia,(03) 57861333,uni.kinglake@police.vic.gov.au
Mooroolbark,24 Hours,188 Hull Road,Mooroolbark,VIC,3138,Australia,(03) 97259999,mooroolbark.uni@police.vic.gov.au
Lilydale,24 Hours,10 Albert Hill Road,Lilydale,VIC,3140,Australia,(03) 97392300,lilydale.uni@police.vic.gov.au
Mount Waverley,Non-24 Hours,338 Stephensons Road,Mount Waverley,VIC,3149,Australia,(03) 98883755,mountwaverley.uni@police.vic.gov.au
Kilmore,Non-24 Hours,111 Powlett Street,Kilmore,VIC,3601,Australia,(03) 57821211,kilmore.uni@police.vic.gov.au
Bairnsdale,24 Hours,47 Main St,Bairnsdale,VIC,3875,Australia,(03) 5150 2600,bairnsdale.uni@police.vic.gov.au
Knox HWP,Non-24 Hours,414 Burwood Hwy,Wantirna South,VIC,3152,Australia,(03) 98817900,knox.tmu@police.vic.gov.au
Yarra Ranges CIU,Non-24 Hours,10 Albert Road,Lilydale,VIC,3140,Australia,(03) 97392300,lilydale.ciu@police.vic.gov.au
Corryong,Non-24 Hours,17 Jardine Street,Corryong,VIC,3707,Australia,(02) 60761666,corryong.uni@police.vic.gov.au
Yarram,Non-24 Hours,123 Commercial Road,Yarram,VIC,3971,Australia,(03) 51825033,yarram.uni@police.vic.gov.au
Ringwood,24 Hours,31 Ringwood Street,Ringwood,VIC,3134,Australia,(03) 98713000,ringwood.uni@police.vic.gov.au
Benalla TMU,Non-24 Hours,4 Bridge Street,Benalla,VIC,3672,Australia,(03) 57622477,benalla.tmu@police.vic.gov.au
Mansfield TMU,Non-24 Hours,92 High Street,Mansfield,VIC,3722,Australia,(03) 57752555,mansfield.tmu@police.vic.gov.au
Wedderburn,Non-24 Hours,2 St Arnaud Rd ,Wedderburn ,VIC,3518,Australia,(03) 5494 3300,
Melbourne West,24 Hours,313 Spencer Street,Docklands,VIC,3008,Australia,(03) 86904444,MELBOURNEWEST.UNI@police.vic.gov.au
Sunshine Prosecutions,Non-24 Hours,497 Ballarat Road,Sunshine,VIC,3020,Australia,(03) 93133334,sunshine.pros@police.vic.gov.au
Broadmeadows Prosecutions,Non-24 Hours,15 Dimboola Road,Broadmeadows,VIC,3047,Australia,(03) 93028263,broadmeadows.pros@police.vic.gov.au
Sunbury,24 Hours,41 Macedon Street,Sunbury,VIC,3429,Australia,(03) 97448111,SUNBURY.UNI@police.vic.gov.au
Wyndham North,Non-24 Hours,610 Sayers Road,Tarneit,VIC,3029,Australia,(03) 87341100,WYNDHAM-UNI-OIC@police.vic.gov.au
Heidelberg Prosecutions,Non-24 Hours,9 Jika Street,Heidelberg,VIC,3084,Australia,(03) 94508160,heidelberg.pros@police.vic.gov.au
Caroline Springs,Non-24 Hours,221 Caroline Springs Blvd,Caroline Springs,VIC,3023,Australia,(03) 93614700,carolinesprings.uni@police.vic.gov.au
Eltham,24 Hours,21 Pryor Street,Eltham,VIC,3095,Australia,(03) 94304500,eltham.uni@police.vic.gov.au
Mooroopna,Non-24 Hours,119 McLennan Street,Mooroopna,VIC,3629,Australia,(03) 58254131,mooroopna.uni@police.vic.gov.au
Lakes Entrance,Non-24 Hours,1 Roadknight Street,Lakes Entrance,VIC,3909,Australia,(03) 51551206,lakesentrance.uni@police.vic.gov.au
Yarram,Non-24 Hours,123 Commercial Road,Yarram,VIC,3971,Australia,(03) 51825033,yarram.uni@police.vic.gov.au
Heyfield,Non-24 Hours,13 Temple Street,Heyfield,VIC,3858,Australia,(03) 51482202,heyfield.uni@police.vic.gov.au
San Remo,Non-24 Hours,28 Phillip Island Road,San Remo,VIC,3925,Australia,(03) 56785500,sanremo.uni@police.vic.gov.au
Maffra,Non-24 Hours,38 Johnson St,Maffra,VIC,3860,Australia,(03) 51471026,maffra.uni@police.vic.gov.au
Glen Waverley,24 Hours,643 Ferntree Gully Road,Glen Waverley,VIC,3150,Australia,(03) 95661555,glenwaverley.uni@police.vic.gov.au
Oakleigh,24 Hours,1 Atherton Road,Oakleigh,VIC,3166,Australia,(03) 95678900,oakleigh.uni@police.vic.gov.au
Mooroopna,Non-24 Hours,119 McLennan Street,Mooroopna,VIC,3629,Australia,(03) 58254131,mooroopna.uni@police.vic.gov.au
Lakes Entrance,Non-24 Hours,1 Roadknight Street,Lakes Entrance,VIC,3909,Australia,(03) 51551206,lakesentrance.uni@police.vic.gov.au
Heyfield,Non-24 Hours,13 Temple Street,Heyfield,VIC,3858,Australia,(03) 51482202,heyfield.uni@police.vic.gov.au
San Remo,Non-24 Hours,28 Phillip Island Road,San Remo,VIC,3925,Australia,(03) 56785500,sanremo.uni@police.vic.gov.au
Maffra,Non-24 Hours,38 Johnson St,Maffra,VIC,3860,Australia,(03) 51471026,maffra.uni@police.vic.gov.au
Glen Waverley,24 Hours,643 Ferntree Gully Road,Glen Waverley,VIC,3150,Australia,(03) 95661555,glenwaverley.uni@police.vic.gov.au
Oakleigh,24 Hours,1 Atherton Road,Oakleigh,VIC,3166,Australia,(03) 95678900,oakleigh.uni@police.vic.gov.au
Forest Hill,24 Hours,469 Springvale Road,Vermont South,VIC,3133,Australia,(03) 88473600,FORESTHILL-UNI-OIC@police.vic.gov.au
Wycheproof,Non-24 Hours,400 Broadway ,Wycheproof ,VIC,3527,Australia,(03) 5493 7200,
Moorabbin,24 Hours,1013 Nepean Hwy,Moorabbin,VIC,3189,Australia,(03) 95566565,moorabbin-uniform-oic-mgr@police.vic.gov.au
Frankston Prosecutions,Non-24 Hours,15 Fletcher Road,Frankston,VIC,3199,Australia,(03) 97845611,frankston.pros@police.vic.gov.au
Epping,24 Hours,785 High Street,Epping,VIC,3076,Australia,(03) 94098100,EPPING.UNI@police.vic.gov.au
Diamond Creek,Non-24 Hours,83 Main Hurstbridge Road,Diamond Creek,VIC,3089,Australia,(03) 94388300,diamondcreek.uni@police.vic.gov.au
Bayside,Non-24 Hours,25 Abbott Street,Sandringham,VIC,3191,Australia,(03) 85305100,bayside-uni-oic@police.vic.gov.au
Brunswick,24 Hours,630 Sydney Road,Brunswick,VIC,3056,Australia,(03) 83786000,brunswick.uni@police.vic.gov.au
Craigieburn,24 Hours,165 Craigieburn Road,Craigieburn,VIC,3064,Australia,(03) 93034433,CRAIGIEBURN.UNI@police.vic.gov.au
Whittlesea,Non-24 Hours,78 Church Street,Whittlesea,VIC,3757,Australia,(03) 97162102,uni-whittlesea@police.vic.gov.au
Fawkner,24 Hours,1151 Sydney Road,Fawkner,VIC,3046,Australia,(03) 93556000,FAWKNER.UNI@police.vic.gov.au
Cheltenham,Non-24 Hours,1224 Nepean Hwy,Cheltenham,VIC,3192,Australia,(03) 95839767,cheltenham.uni@police.vic.gov.au
Reservoir,24 Hours,73 Mahoney road,Reservoir,VIC,3073,Australia,(03) 94606744,RESERVOIR.UNI@police.vic.gov.au
Melbourne Prosecutions,Non-24 Hours,456 Lonsdale Street,Melbourne,VIC,3001,Australia,(03) 86283200,melbourne.pros@police.vic.gov.au
State Coroner's Assistant's Unit,Non-24 Hours,83 Kavanagh Street,Southbank,VIC,3006,Australia,(03) 86851131,
Croydon,24 Hours,175 Mt Dandenong Road,Croydon,VIC,3136,Australia,(03) 97240100,croydon.uni@police.vic.gov.au
Bruthen,Non-24 Hours,45 Main Street,Bruthen,VIC,3885,Australia,(03) 51575221,bruthen.uni@police.vic.gov.au
Southbank,24 Hours,66 Moray Street,Southbank,VIC,3006,Australia,(03) 86350900,SOUTHBANK-UNI-OIC@police.vic.gov.au
Melbourne Prosecutions,Non-24 Hours,456 Lonsdale Street,Melbourne,VIC,3001,Australia,(03) 86283200,melbourne.pros@police.vic.gov.au
State Coroner's Assistant's Unit,Non-24 Hours,83 Kavanagh Street,Southbank,VIC,3006,Australia,(03) 86851131,
Melbourne West Precinct Policing,24 Hours,313 Spencer Street,Docklands,VIC,3008,Australia,(03) 86904444,melbournewest.precinctpolicing@police.vic.gov.au
Penshurst,Non-24 Hours,37 Martin Street,Penshurst,VIC,3289,Australia,(03) 55765222,PENSHURST.UNI@police.vic.gov.au
Rosedale,Non-24 Hours,34 Lyons Street,Rosedale,VIC,3847,Australia,(03) 51992222,rosedale.uni@police.vic.gov.au
Korumburra,Non-24 Hours,22 Bridge Street,Korumburra,VIC,3950,Australia,(03) 56551244,korumburra.uni@police.vic.gov.au
Meeniyan,Non-24 Hours,139 Whitelaw Street,Meeniyan,VIC,3956,Australia,(03) 56647281,meeniyan.uni@police.vic.gov.au
Meeniyan,Non-24 Hours,139 Whitelaw Street,Meeniyan,VIC,3956,Australia,(03) 56647281,meeniyan.uni@police.vic.gov.au
Nunawading,Non-24 Hours,401 Whitehorse Road,Nunawading,VIC,3131,Australia,(03) 98714111,GP-R4D2-ADMINDIV2-NUNAWADING-Mgr@police.vic.gov.au
Boroondara (Kew),24 Hours,34 Harp Road,Kew,VIC,3101,Australia,(03) 88511111,boroondara.uniC@police.vic.gov.au
Bethanga,Non-24 Hours,1 Bethanga Bay Road,Bethanga,VIC,3691,Australia,(02) 60264204,bethanga.uni@police.vic.gov.au
Nillumbik TMU,Non-24 Hours,21 Pryor Street,Eltham,VIC,3095,Australia,(03) 94304537,nillumbik.tmu@police.vic.gov.au
Rowville,Non-24 Hours,30 Fulham Road,Rowville,VIC,3178,Australia,(03) 97640996,oic.rowville@police.vic.gov.au
Shepparton,24 Hours,155 Welsford Street,Shepparton,VIC,3630,Australia,(03) 58205777,SHEPPARTON.UNI@police.vic.gov.au
Knox CIU,Non-24 Hours,414 Burwood Hwy,Wantirna South,VIC,3152,Australia,(03) 98817999,knox.ciu@police.vic.gov.au
Ballarat,24 Hours,20 Dana Street,Ballarat,VIC,3350,Australia,(03) 53366000,BALLARAT.UNI@police.vic.gov.au
Malvern,Non-24 Hours,288 Glenferrie Road,Malvern,VIC,3144,Australia,(03) 88235600,malvern.uni@police.vic.gov.au
Endeavour Hills,Non-24 Hours,80 Heatherton Road,Endeavour Hills,VIC,3802,Australia,(03) 97097666,endeavourhills-UNI-5EH-OIC@police.vic.gov.au
Broadford,Non-24 Hours,156 High Street,Broadford,VIC,3658,Australia,(03) 57841404,broadford.uni@police.vic.gov.au
