"Place","Opening.Hours","Street.Address","Suburb","State","Postcode","Country","Phone","Email","Address","lat","lon","display_name"
"Mount Evelyn","Non-24 Hours","17 York Road","Mount Evelyn","VIC",3796,"Australia","(03) 97362473","mtevelyn.uni@police.vic.gov.au","17 York Road , Mount Evelyn , VIC , 3796 , Australia",-37.7874854,145.378661,"York Road, Mount Evelyn, Melbourne, Shire of Yarra Ranges, Victoria, 3796, Australia"
"Frankston","24 Hours","15 Fletcher Road","Frankston","VIC",3199,"Australia","(03) 97845555","frankston.uni@police.vic.gov.au","15 Fletcher Road , Frankston , VIC , 3199 , Australia",-38.1386929,145.1231641,"Fletcher Road, Frankston, Melbourne, City of Frankston, Victoria, VIC, Australia"
"Dromana","Non-24 Hours","321 Point Nepean Rd","Dromana","VIC",3936,"Australia","(03) 59872023","dromana.uni@police.vic.gov.au","321 Point Nepean Rd , Dromana , VIC , 3936 , Australia",-38.3286058,144.9733874,"Point Nepean Road, Dromana, Melbourne, Shire of Mornington Peninsula, Victoria, 3936, Australia"
"Mordialloc","Non-24 Hours","31 Albert Street","Mordialloc","VIC",3195,"Australia","(03) 95882988","mordialloc.uni@police.vic.gov.au","31 Albert Street , Mordialloc , VIC , 3195 , Australia",-38.003767,145.086305418888,"31, Albert Street, Mordialloc, Parkdale, Melbourne, City of Kingston, Victoria, 3195, Australia"
"Subpoena Management Unit","Non-24 Hours","637 Flinders Street","Docklands","VIC",3008,"Australia","(03) 92476954","subpoenamanagement.rsd@police.vic.gov.au","637 Flinders Street , Docklands , VIC , 3008 , Australia",-37.8219341,144.9534143,"Victoria Police Centre, 637, Flinders Street, Yarra’s Edge, Docklands, South Wharf, Melbourne, City of Melbourne, Victoria, 3008, Australia"
"Bright","Non-24 Hours","7 Park Street","Bright","VIC",3741,"Australia","(03) 57551444","bright.uni@police.vic.gov.au","7 Park Street , Bright , VIC , 3741 , Australia",-36.73172765,146.962121960527,"Bright Police Station, 7, Park Street, Bright, Alpine Shire, Victoria, 3741, Australia"
"Melton","24 Hours","243 Station Road","Melton","VIC",3337,"Australia","(03) 97477999","MELTON.UNI@police.vic.gov.au","243 Station Road , Melton , VIC , 3337 , Australia",-37.685772,144.577664712801,"Melton Police Station, 243, Station Road, Melton, Melbourne, City of Melton, Victoria, 3337, Australia"
"Mill Park","24 Hours","151 Centenary Drive","Mill Park","VIC",3082,"Australia","(03) 94073333","MILLPARK.UNI@police.vic.gov.au","151 Centenary Drive , Mill Park , VIC , 3082 , Australia",-37.6587153,145.0673131,"Centenary Drive, Mill Park, Melbourne, City of Whittlesea, Victoria, 3082, Australia"
"Mernda","24 Hours","542 Bridge Inn Road","Mernda","VIC",3754,"Australia","(03) 92161200","MERNDA-UNI-OIC@police.vic.gov.au","542 Bridge Inn Road , Mernda , VIC , 3754 , Australia",-37.6029462,145.11606,"Bridge Inn Road, Doreen, Mernda, Melbourne, City of Whittlesea, Victoria, 3754, Australia"
"Melbourne North","24 Hours","36 Wreckyn Street","North Melbourne","VIC",3051,"Australia","(03) 83790800","MELBOURNENORTH-UNI-OIC@police.vic.gov.au","36 Wreckyn Street , North Melbourne , VIC , 3051 , Australia",-37.80036805,144.954737189026,"Melbourne North Police Station, 36, Wreckyn Street, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia"
"Rawson","Non-24 Hours","4 Pinnacle Drive","Rawson","VIC",3825,"Australia","(03) 51653444","rawson.uni@police.vic.gov.au","4 Pinnacle Drive , Rawson , VIC , 3825 , Australia",-37.9605263,146.3978334,"Pinnacle Drive, Rawson, Shire of Baw Baw, Victoria, Australia"
"Chiltern","Non-24 Hours","64 Main Street","Chiltern","VIC",3683,"Australia","(03) 57261222","chiltern.uni@police.vic.gov.au","64 Main Street , Chiltern , VIC , 3683 , Australia",-36.1482616,146.6102771,"Main Street, Chiltern, Shire of Indigo, Victoria, 3683, Australia"
"Falls Creek (Snow Season)","Non-24 Hours","Falls Creek Road","Falls Creek","VIC",3699,"Australia","(03) 57583424","mounthothamandfallscreek.er@police.vic.gov.au","Falls Creek Road , Falls Creek , VIC , 3699 , Australia",-36.8638519,147.276276,"Falls Creek Road, Falls Creek, Victoria, Australia"
"Maroondah CIU","Non-24 Hours","31 Ringwood Street","Ringwood","VIC",3134,"Australia","(03) 98713052","ringwood.ciu@police.vic.gov.au","31 Ringwood Street , Ringwood , VIC , 3134 , Australia",-37.8106081,145.2273529,"Ringwood Street, Ringwood, Ringwood North, Melbourne, City of Maroondah, Victoria, 3134, Australia"
"Euroa","Non-24 Hours","40 Kirkland Avenue","Euroa","VIC",3666,"Australia","(03) 57952017","euroa.uni@police.vic.gov.au","40 Kirkland Avenue , Euroa , VIC , 3666 , Australia",-36.7517091,145.5726733,"Euroa Police Station, 40, Kirkland Avenue, Euroa, Shire of Strathbogie, Victoria, 3666, Australia"
"Numurkah","Non-24 Hours","19 Saxton St","Numurkah","VIC",3636,"Australia","(03) 58623311","NUMURKAH.UNI@police.vic.gov.au","19 Saxton St , Numurkah , VIC , 3636 , Australia",-36.0883761,145.436689,"Saxton Street, Numurkah, Shire of Moira, Victoria, 3636, Australia"
"Hastings","Non-24 Hours","137 High Street","Hastings","VIC",3915,"Australia","(03) 59707800","hastings.uni@police.vic.gov.au","137 High Street , Hastings , VIC , 3915 , Australia",-38.3077267,145.1854499,"High Street, Hastings, Melbourne, Shire of Mornington Peninsula, Victoria, 3915, Australia"
"Emerald","Non-24 Hours","390 Belgrave Gembrook Road","Emerald","VIC",3782,"Australia","(03) 59540200","emerald.uni@police.vic.gov.au","390 Belgrave Gembrook Road , Emerald , VIC , 3782 , Australia",-37.9259597,145.456561,"Belgrave - Gembrook Road, Emerald, Melbourne, Shire of Cardinia, Victoria, 3782, Australia"
"Clayton","Non-24 Hours","263 Clayton Road","Clayton","VIC",3168,"Australia","(03) 95433888","clayton.uni@police.vic.gov.au","263 Clayton Road , Clayton , VIC , 3168 , Australia",-37.9201209,145.1203129,"Clayton, 263, Clayton Road, Clayton, Oakleigh East, Melbourne, City of Monash, Victoria, 3800, Australia"
"Avondale Heights","24 hours","162 Military Rd","Avondale Heights","VIC",3034,"Australia","(03) 93376777","avondaleheights.uni@police.vic.gov.au","162 Military Rd , Avondale Heights , VIC , 3034 , Australia",-37.7591666,144.8606924,"Military Road, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
"Geelong","24 hours","110 Mercer Street","Geelong","VIC",3220,"Australia","(03) 5225 3100","GEELONG.UNI@police.vic.gov.au","110 Mercer Street , Geelong , VIC , 3220 , Australia",-38.1395992,144.3547621,"Mercer Street, Geelong, Victoria, 3220, Australia"
"Yarra Junction","Non-24 hours","2395 Warburton Hwy","Yarra Junction","VIC",3797,"Australia","(03) 5967 1104","yarrajunction-uni@police.vic.gov.au","2395 Warburton Hwy , Yarra Junction , VIC , 3797 , Australia",-37.780283,145.6070316,"Police Station, 2395, Warburton Highway, Yarra Junction, Melbourne, Shire of Yarra Ranges, Victoria, 3797, Australia"
"Dookie","Non-24 Hours","26 Queen Street","Dookie","VIC",3646,"Australia","(03) 58286213","DOOKIE.UNI@police.vic.gov.au","26 Queen Street , Dookie , VIC , 3646 , Australia",-36.330277,145.6849861,"Queen Street, Dookie, City of Greater Shepparton, Victoria, 3546, Australia"
"Anglesea","Non-24 Hours","55 Great Ocean Road","Anglesea","VIC",3230,"Australia","(03) 52633468","ANGLESEA.UNI@police.vic.gov.au","55 Great Ocean Road , Anglesea , VIC , 3230 , Australia",-38.4033595,144.1921503,"Anglesea Police Station, 55, Great Ocean Road, Anglesea, Surf Coast Shire, Victoria, 3230, Australia"
"Transit Safety Division","24 Hours","637 Flinders Street","Docklands","VIC",3008,"Australia","(03) 92473300","","637 Flinders Street , Docklands , VIC , 3008 , Australia",-37.8219341,144.9534143,"Victoria Police Centre, 637, Flinders Street, Yarra’s Edge, Docklands, South Wharf, Melbourne, City of Melbourne, Victoria, 3008, Australia"
"Caulfield","24 Hours","289 Hawthorn Road","Caulfield","VIC",3162,"Australia","(03) 95249500","caulfield.uni@police.vic.gov.au","289 Hawthorn Road , Caulfield , VIC , 3162 , Australia",-37.8811558,145.0234719,"Caulfield Police Station, 289, Hawthorn Road, Caulfield, Caulfield North, Melbourne, City of Glen Eira, Victoria, 3162, Australia"
"Cranbourne","Non-24 Hours","168 Sladen Street","Cranbourne","VIC",3977,"Australia","(03) 59910600","cranbourne.uni@police.vic.gov.au","168 Sladen Street , Cranbourne , VIC , 3977 , Australia",-38.1125356,145.2794088,"Sladen Street, Cranbourne, Junction Village, Melbourne, City of Casey, Victoria, 3977, Australia"
"Benalla","24 Hours","17 Bridge St W","Benalla","VIC",3672,"Australia","(03) 57600200","benalla.uni@police.vic.gov.au","17 Bridge St W , Benalla , VIC , 3672 , Australia",-36.5521874,145.981701,"Bridge Street West, Benalla, Rural City of Benalla, Victoria, 3672, Australia"
"Dandenong","24 Hours","50 Langhorne Street","Dandenong","VIC",3175,"Australia","(03) 97677444","dandenong.uni@police.vic.gov.au","50 Langhorne Street , Dandenong , VIC , 3175 , Australia",-37.9901765,145.2171922,"Dandenong Police Station, 50, Langhorne Street, Dandenong, Melbourne, City of Greater Dandenong, Victoria, 3175, Australia"
"Boronia","24 Hours","259 Dorset Road","Boronia","VIC",3155,"Australia","(03) 97606600","boronia.uni@police.vic.gov.au","259 Dorset Road , Boronia , VIC , 3155 , Australia",-37.8628118,145.2853884,"Dorset Road, Boronia, Melbourne, City of Knox, Victoria, 3155, Australia"
"Melbourne Airport","24 Hours","2 Francis Briggs Road","Melbourne Airport","VIC",3045,"Australia","(03) 83463400","","2 Francis Briggs Road , Melbourne Airport , VIC , 3045 , Australia",-37.6768245,144.8528933,"Francis Briggs Road, Melbourne Airport, Melbourne, City of Hume, Victoria, 3045, Australia"
"Sunshine","24 Hours","497 Ballarat Road","Sunshine","VIC",3020,"Australia","(03) 93133333","SUNSHINE.UNI@police.vic.gov.au","497 Ballarat Road , Sunshine , VIC , 3020 , Australia",-37.77792155,144.831281892121,"Sunshine Police Station, 497, Ballarat Road, Sunshine, Melbourne, City of Brimbank, Victoria, 3020, Australia"
"Hurstbridge","Non-24 Hours","790 Main Road","Hurstbridge","VIC",3099,"Australia","(03) 97182111","hurstbridge.uni@police.vic.gov.au","790 Main Road , Hurstbridge , VIC , 3099 , Australia",-37.6365546,145.1975876,"Main Road, Hurstbridge, Melbourne, Shire of Nillumbik, Victoria, 3099, Australia"
"Sorrento","Non-24 Hours","10 Hotham Road","Sorrento","VIC",3943,"Australia","(03) 59842000","sorrento.uni@police.vic.gov.au","10 Hotham Road , Sorrento , VIC , 3943 , Australia",-38.3363943,144.7392256,"Hotham Road, Sorrento, Melbourne, Shire of Mornington Peninsula, Victoria, 3943, Australia"
"South Melbourne","Non-24 Hours","211 Bank Street","South Melbourne","VIC",3205,"Australia","(03) 92573800","southmelbourne.uni@police.vic.gov.au","211 Bank Street , South Melbourne , VIC , 3205 , Australia",-37.83491735,144.959631393497,"South Melbourne Police Station, 211, Bank Street, South Melbourne, St Kilda West, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
"Springvale","Non-24 Hours","314 Springvale Road","Springvale","VIC",3171,"Australia","(03) 85588600","springvale.uni@police.vic.gov.au","314 Springvale Road , Springvale , VIC , 3171 , Australia",-37.9489708,145.1527407,"Springvale Road, Springvale, Melbourne, City of Greater Dandenong, Victoria, 3171, Australia"
"Carrum Downs","Non-24 Hours","42 Ballarto Road","Carrum Downs","VIC",3201,"Australia","(03) 87704100","CARRUMDOWNS-UNI-OIC@police.vic.gov.au","42 Ballarto Road , Carrum Downs , VIC , 3201 , Australia",-38.1154055,145.1793917,"Ballarto Road, Carrum Downs, Frankston North, Melbourne, City of Frankston, Victoria, 3201, Australia"
"Briagolong","Non-24 Hours","21 Avon Street","Briagolong","VIC",3860,"Australia","(03) 51455213","briagolong.uni@police.vic.gov.au","21 Avon Street , Briagolong , VIC , 3860 , Australia",-37.8444439,147.0765968,"Avon Street, Briagolong, Shire of Wellington, Victoria, Australia"
"Northcote","24 Hours","48 Dennis Street","Northcote","VIC",3070,"Australia","(03) 94030200","NORTHCOTE.UNI@police.vic.gov.au","48 Dennis Street , Northcote , VIC , 3070 , Australia",-37.76623395,145.002120494008,"Northcote Police Station, 48, Dennis Street, Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia"
"Prosecutions Research & Training","Non-24 Hours","456 Lonsdale Street","Melbourne","VIC",3000,"Australia","(03) 86283280","prosecutions.research@police.vic.gov.au","456 Lonsdale Street , Melbourne , VIC , 3000 , Australia",-37.8129669,144.9586344,"Lauren Tye Legal, 456, Lonsdale Street, Melbourne, Southbank, Melbourne, City of Melbourne, Victoria, 3000, Australia"
"Leongatha","Non-24 Hours","8 Anderson Street","Leongatha","VIC",3953,"Australia","(03) 56622285","leongatha.uni@police.vic.gov.au","8 Anderson Street , Leongatha , VIC , 3953 , Australia",-38.4736296,145.9447095,"Anderson Street, Leongatha, Shire of South Gippsland, Victoria, 3953, Australia"
"Mirboo North","Non-24 Hours","77 Ridgway","Mirboo North","VIC",3871,"Australia","(03) 56681444","MIRBOONORTH-UNI-OIC@police.vic.gov.au","77 Ridgway , Mirboo North , VIC , 3871 , Australia",-38.4012111,146.1604012,"Ridgway, Mirboo North, Shire of South Gippsland, Victoria, 3871, Australia"
"Drouin","Non-24 Hours","184 Princes Hwy","Drouin","VIC",3818,"Australia","(03) 56252003","drouin.uni@police.vic.gov.au","184 Princes Hwy , Drouin , VIC , 3818 , Australia",-38.0949077,145.8352958,"Princes Highway, Drouin, Shire of Baw Baw, Victoria, 3818, Australia"
"Cowes","Non-24 Hours","92 Chapel Street","Cowes","VIC",3933,"Australia","(03) 59522037","cowes.uni@police.vic.gov.au","92 Chapel Street , Cowes , VIC , 3933 , Australia",-38.4502572,145.2359582,"Chapel Street, Cowes, Bass Coast Shire, Victoria, 3922, Australia"
"Camberwell","24 Hours","317 Camberwell Road","Camberwell","VIC",3124,"Australia","(03) 98820688","camberwell.uni@police.vic.gov.au","317 Camberwell Road , Camberwell , VIC , 3124 , Australia",-37.83314795,145.059312767964,"Camberwell Police Station, 317, Camberwell Road, Camberwell, Hawthorn East, Melbourne, City of Boroondara, Victoria, 3124, Australia"
"Healesville","Non-24 Hours","37 Harker St","Healesville","VIC",3777,"Australia","(03) 59624422","healesville.uni@police.vic.gov.au","37 Harker St , Healesville , VIC , 3777 , Australia",-37.6580154,145.5126253,"Harker Street, Healesville, Melbourne, Shire of Yarra Ranges, Victoria, 3777, Australia"
"Burwood","Non-24 Hours","64 Burwood Hwy","Burwood","VIC",3125,"Australia","(03) 98888377","burwood.uni@police.vic.gov.au","64 Burwood Hwy , Burwood , VIC , 3125 , Australia",-37.8509547,145.0981719,"Burwood Police Station, 64, Burwood Highway, Burwood, Melbourne, City of Whitehorse, Victoria, 3125, Australia"
"Murchison","Non-24 Hours","8 Watson Street","Murchison","VIC",3610,"Australia","(03) 58262222","MURCHISON.UNI@police.vic.gov.au","8 Watson Street , Murchison , VIC , 3610 , Australia",-36.6209527,145.2244413,"Watson Street, Murchison, City of Greater Shepparton, Victoria, 3610, Australia"
"Omeo","Non-24 Hours","19 Tongio Road","Omeo","VIC",3898,"Australia","(03) 51591222","omeo.uni@police.vic.gov.au","19 Tongio Road , Omeo , VIC , 3898 , Australia",-37.1013554,147.5915329,"Tongio Road, Omeo, Shire of East Gippsland, Victoria, 3898, Australia"
"Orbost","Non-24 Hours","1 Lawson Lane","Orbost","VIC",3888,"Australia","(03) 51541073","orbost.uni2@police.vic.gov.au","1 Lawson Lane , Orbost , VIC , 3888 , Australia",-37.7074427,148.4608365,"Lawson Lane, Orbost, Shire of East Gippsland, Victoria, 3888, Australia"
"Neerim South","Non-24 Hours","76 Main Neerim Road","Neerim South","VIC",3831,"Australia","(03) 56281303","neerimsouth.uni@police.vic.gov.au","76 Main Neerim Road , Neerim South , VIC , 3831 , Australia",-37.9843562,145.9446648,"Main Neerim Road, Neerim, Neerim South, Shire of Baw Baw, Victoria, 3831, Australia"
"Mitta Mitta","Non-24 Hours","5554 Omeo Hwy","Mitta Mitta","VIC",3701,"Australia","(02) 60723564","mittamitta.uni@police.vic.gov.au","5554 Omeo Hwy , Mitta Mitta , VIC , 3701 , Australia",-36.4757488,147.3260621,"Omeo Highway, Mitta Mitta, Eskdale, Shire of Towong, Victoria, 3701, Australia"
"Mount Hotham (Snow Season)","Non-24 Hours","Great Alpine Road","Hotham Heights","VIC",3741,"Australia","(03) 57593535","mounthothamandfallscreek.erc@police.vic.gov.au","Great Alpine Road , Hotham Heights , VIC , 3741 , Australia",-37.003088,147.095165,"Great Alpine Road, Hotham Heights, Victoria, Australia"
"Rutherglen","Non-24 Hours","167 High Street","Rutherglen","VIC",3685,"Australia","(02) 60329612","rutherglen.uni@police.vic.gov.au","167 High Street , Rutherglen , VIC , 3685 , Australia",-36.0515182,146.4625091,"High Street, Rutherglen, Shire of Indigo, Victoria, 3685, Australia"
"Eildon","Non-24 Hours","22 Main Street","Eildon","VIC",3713,"Australia","(03) 57742104","eildon.uni@police.vic.gov.au","22 Main Street , Eildon , VIC , 3713 , Australia",-37.2329001,145.9092357,"Main Street, Eildon, Shire of Murrindindi, Victoria, 3713, Australia"
"Glenrowan","Non-24 Hours","72 Gladstone Street","Glenrowan","VIC",3675,"Australia","(03) 57662215","glenrowan.uni@police.vic.gov.au","72 Gladstone Street , Glenrowan , VIC , 3675 , Australia",-36.462994,146.2275558,"Gladstone Street, Glenrowan, Rural City of Wangaratta, Victoria, 3675, Australia"
"Wonthaggi","24 Hours","75 Watt Street","Wonthaggi","VIC",3995,"Australia","(03) 56714100","wonthaggi.uni@police.vic.gov.au","75 Watt Street , Wonthaggi , VIC , 3995 , Australia",-38.6063534,145.5997708,"Watt Street, Wonthaggi, Bass Coast Shire, Victoria, 3995, Australia"
"Traralgon","24 Hours","17 Kay Street","Traralgon","VIC",3844,"Australia","(03) 51722700","traralgon.uni@police.vic.gov.au","17 Kay Street , Traralgon , VIC , 3844 , Australia",-38.1949196,146.536667264683,"Traralgon Police Station, 17, Kay Street, Traralgon, Latrobe City, Victoria, 3844, Australia"
"Mornington","Non-24 Hours","8 Main Street","Mornington","VIC",3931,"Australia","(03) 59704900","mornington.uni@police.vic.gov.au","8 Main Street , Mornington , VIC , 3931 , Australia",-38.21636745,145.036895118777,"Mornington Police Station, 8, Main Street, Mornington, Melbourne, Shire of Mornington Peninsula, Victoria, 3931, Australia"
"Koo Wee Rup","Non-24 hours","260 Rossiter Road","Koo Wee Rup","VIC",3981,"Australia","(03) 59971404","kooweerup.uni@police.vic.gov.au","260 Rossiter Road , Koo Wee Rup , VIC , 3981 , Australia",-38.2088646,145.4721489,"Rossiter Road, Koo Wee Rup, Melbourne, Shire of Cardinia, Victoria, 3981, Australia"
"Bunyip","Non-24 Hours","4 Pearson Street","Bunyip","VIC",3815,"Australia","(03) 56295205","BUNYIP-UNI-OIC@police.vic.gov.au","4 Pearson Street , Bunyip , VIC , 3815 , Australia",-38.0965733,145.7175415,"Pearson Street, Bunyip, Melbourne, Shire of Cardinia, Victoria, 3815, Australia"
"Narre Warren","24 Hours","8 Coventry Road","Narre Warren","VIC",3805,"Australia","(03) 97053111","NARREWARREN-UNI-OIC@police.vic.gov.au","8 Coventry Road , Narre Warren , VIC , 3805 , Australia",-38.0257623,145.3111174,"Narre Warren Police Station, 8, Coventry Road, Fountain Gate, Narre Warren, Melbourne, City of Casey, Victoria, 3805, Australia"
"Prahran","24 Hours","396 Malvern Road","Prahran","VIC",3181,"Australia","(03) 95205200","prahran.uni@police.vic.gov.au","396 Malvern Road , Prahran , VIC , 3181 , Australia",-37.8488776,145.0091898,"Malvern Road, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia"
"Rye","Non-24 Hours","2 Dundas Street","Rye","VIC",3941,"Australia","(03) 59852582","rye.5ry@police.vic.gov.au","2 Dundas Street , Rye , VIC , 3941 , Australia",-38.3706,144.819,"Rye, 2, Dundas Street, Rye, Melbourne, Shire of Mornington Peninsula, Victoria, 3941, Australia"
"St Kilda","24 Hours","92 Chapel Street","St Kilda","VIC",3182,"Australia","(03) 95362666","st.kilda.uni@police.vic.gov.au","92 Chapel Street , St Kilda , VIC , 3182 , Australia",-37.8678683,144.9906544,"St Kilda Police Station, 92, Chapel Street, St Kilda, Balaclava, Melbourne, City of Port Phillip, Victoria, 3182, Australia"
"Somerville","Non-24 Hours","197 Eramosa Rd W","Somerville","VIC",3912,"Australia","(03) 59781300","","197 Eramosa Rd W , Somerville , VIC , 3912 , Australia",-38.2237514,145.1749359,"Eramosa Road West, Somerville, Baxter, Melbourne, Shire of Mornington Peninsula, Victoria, 3912, Australia"
"Laverton","Non-24 Hours","36 Maher Road","Laverton","VIC",3028,"Australia","(03) 93692122","LAVERTON.UNI@police.vic.gov.au","36 Maher Road , Laverton , VIC , 3028 , Australia",-37.8666799,144.7618815,"Maher Road, Laverton, Melbourne, City of Hobsons Bay, Victoria, 3028, Australia"
"Melbourne East","24 Hours","202 Bourke St","Melbourne East","VIC",3000,"Australia","(03) 96371100","MELBOURNEEAST.UNI@police.vic.gov.au","202 Bourke St , Melbourne East , VIC , 3000 , Australia",-37.8129360469388,144.967052593878,"202, Bourke Street, Melbourne, Southbank, Melbourne, City of Melbourne, Victoria, 3000, Australia"
"Chelsea","24 Hours","312 Station Street","Chelsea","VIC",3196,"Australia","(03) 87733200","chelsea.uni@police.vic.gov.au","312 Station Street , Chelsea , VIC , 3196 , Australia",-38.050076,145.1153531,"Station Street, Chelsea, Melbourne, City of Kingston, Victoria, 3196, Australia"
"Lang Lang","Non-24 Hours","11 Westernport Road","Lang Lang","VIC",3984,"Australia","(03) 59975444","langlang.uni@police.vic.gov.au","11 Westernport Road , Lang Lang , VIC , 3984 , Australia",-38.2715664,145.54853,"Westernport Road, Lang Lang, Melbourne, Shire of Cardinia, Victoria, Australia"
"Box Hill","24 Hours","1 Kangerong Road","Box Hill","VIC",3128,"Australia","(03) 88923200","BOXHILL.UNI@police.vic.gov.au","1 Kangerong Road , Box Hill , VIC , 3128 , Australia",-37.8179928,145.1273211,"1, Kangerong Road, Box Hill, Box Hill North, Melbourne, City of Whitehorse, Victoria, 3129, Australia"
"Victoria Police Centre","Non-24 Hours","313 Spencer St","Docklands","VIC",3008,"Australia","(03) 92476666","","313 Spencer St , Docklands , VIC , 3008 , Australia",-37.8121141,144.9510268,"Spencer Street, West Melbourne, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
"Werribee","24 Hours","134 Princes Hwy","Werribee","VIC",3030,"Australia","(03) 97429444","WERRIBEE.UNI@police.vic.gov.au","134 Princes Hwy , Werribee , VIC , 3030 , Australia",-37.89385925,144.68158580173,"Werribee Police Station, 134, Princes Highway, Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia"
"Hume CIU","24 Hours","15 Dimboola Road","Broadmeadows","VIC",3047,"Australia","(03) 93028211","","15 Dimboola Road , Broadmeadows , VIC , 3047 , Australia",-37.6832159,144.9165236,"Broadmeadows Police Station, 15, Dimboola Road, Broadmeadows, Jacana, Melbourne, City of Hume, Victoria, 3047, Australia"
"Heidelberg","24 Hours","7 Jika Street","Heidelberg","VIC",3084,"Australia","(03) 94508000","heidelberg.uni@police.vic.gov.au","7 Jika Street , Heidelberg , VIC , 3084 , Australia",-37.7575873,145.0711389,"Jika Street, Heidelberg, Melbourne, City of Banyule, Victoria, 3084, Australia"
"Buchan","Non-24 Hours","39 Main Rd","Buchan","VIC",3885,"Australia","(03) 51559268","buchan.uni@police.vic.gov.au","39 Main Rd , Buchan , VIC , 3885 , Australia",-37.5001715,148.1718432,"Main Road, Buchan, Shire of East Gippsland, Victoria, Australia"
